naziv;sport;godina;organizator;prvak;brojNatjecatelja;drzavenatjecatelja;spolNatjecatelja;imenaIgraca;prezimenaIgraca;datumRodjenjaIgraca;naziviTimova;osnovani;treneriTimova
Bank of hope lpga match-play;golf;2023;LPGA;Pajaree Anannarukarn;8;Tajland_Španjolska_Irska_Francuska_Japan_SAD_Švicarska_Švedska;Ž_Ž_Ž_Ž_Ž_Ž_Ž_Ž;Pajaree_Carlota_Leona_Celine_Furue_Lindsey_Albane_Linn;Anannarukarn_Ciganda_Maguire_Boutier_Ayaka_Weaver-Wright_Valenzuela_Grant;30-05-1999_01-06-1990_30-11-1994_10-11-1993_27-05-2000_16-09-1993_17-12-1997_20-06-1999;;;
Olimpijske igre - Final 8;Stolni tenis;2020;MOO;Ma Long;8;Kina_Južna Koreja_Tajvan_Slovenija_Brazil_Njema?ka_Egipat_Kina;M_M_M_M_M_M_M_M;Fan_Jeoung_Lin_Darko_Hugo_Dimitrij_Omar_Ma;Zhendong_Youngsik_Youn-Ju_Jorgic_Calderano_Ovtcharov_Assar_Long;22-01-1997_20-01-1992_17-08-2001_30-07-1998_22-06-1996_02-09-1988_22-07-1991_20-10-1988;;;
Prva Hrvatska nogometna liga;nogomet;2016;HNS;HNK Rijeka;10;Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska;M_M_M_M_M_M_M_M_M_M;;;;HNK Rijeka_NK Inter Zapreši?_GNK Dinamo Zagreb_NK Slaven Belupo_HNK Cibalia_NK Lokomotiva Zagreb_NK Osijek_RNK Split_HNK Hajduk Split_NK Istra 1961;01-01-1906_25-06-1929_09-06-1945_01-01-1907_01-01-1919_01-01-1914_27-02-1947_16-04-1912_13-02-1911_01-01-1948;Matjaž Kek_Samir Toplak_Ivajlo Petev_Željko Kopi?_Dražen Pernar_Mario Toki?_Zoran Zeki?_Bruno Akrapovi?_Joan Carrillo_Darko Rai?-Sudar
Prva Hrvatska nogometna liga;nogomet;2017;HNS;GNK Dinamo Zagreb;10;Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska;M_M_M_M_M_M_M_M_M_M;;;;NK Lokomotiva Zagreb_NK Rudeš_HNK Cibalia_NK Istra 1961_HNK Rijeka_NK Osijek_NK Inter Zapreši?_NK Slaven Belupo_GNK Dinamo Zagreb_HNK Hajduk Split;01-01-1914_01-01-1957_01-01-1919_01-01-1948_01-01-1906_27-02-1947_25-06-1929_01-01-1907_09-06-1945_13-02-1911;Goran Tomi?_Jose Manuel Aira_Davor Rupnik_Darko Rai?-Sudar_Matjaž Kek_Zoran Zeki?_Samir Toplak_Tomislav Ivkovi?_Mario Cvitanovi?_Željko Kopi?
Prva Hrvatska nogometna liga;nogomet;2018;HNS;GNK Dinamo Zagreb;10;Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska;M_M_M_M_M_M_M_M_M_M;;;;HNK Velika Gorica_NK Lokomotiva Zagreb_GNK Dinamo Zagreb_NK Istra 1961_NK Slaven Belupo_HNK Hajduk Split_HNK Rijeka_NK Osijek_NK Inter Zapreši?_NK Rudeš;01-01-2009_01-01-1914_09-06-1945_01-01-1948_01-01-1907_13-02-1911_01-01-1906_27-02-1947_25-06-1929_01-01-1957;Sergej Jakirovi?_Goran Tomi?_Nenad Bjelica_Igor Cvitanovi?_Ivica Serti?_Siniša Oreš?anin_Igor Biš?an_Dino Skledar_Samir Toplak_Tomislav Ivkovi?
Prva Hrvatska nogometna liga;nogomet;2019;HNS;GNK Dinamo Zagreb;10;Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska;M_M_M_M_M_M_M_M_M_M;;;;GNK Dinamo Zagreb_NK Slaven Belupo_HNK Velika Gorica_HNK Rijeka_NK Lokomotiva Zagreb_NK Inter Zapreši?_NK Osijek_NK Istra 1961_HNK Hajduk Split_NK Varaždin;09-06-1945_01-01-1907_01-01-2009_01-01-1906_01-01-1914_25-06-1929_27-02-1947_01-01-1948_13-02-1911_01-01-2012;Zoran Mami?_Tomislav Stipi?_Sergej Jakirovi?_Simon Rožman_Goran Tomi?_Tomislav Ivkovi?_Ivica Kuleševi?_Ivan Prelec_Igor Tudor_Samir Toplak
Prva Hrvatska nogometna liga;nogomet;2020;HNS;GNK Dinamo Zagreb;10;Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska;M_M_M_M_M_M_M_M_M_M;;;;HNK Hajduk Split_NK Lokomotiva Zagreb_NK Slaven Belupo_NK Istra 1961_GNK Dinamo Zagreb_NK Osijek_HNK Velika Gorica_NK Varaždin_HNK Šibenik_HNK Rijeka;13-02-1911_01-01-1914_01-01-1907_01-01-1948_09-06-1945_27-02-1947_01-01-2009_01-01-2012_01-12-1932_01-01-1906;Paolo Tramezzani_Samir Toplak_Tomislav Stipi?_Danijel Jumi?_Damir Krznar_Nenad Bjelica_Siniša Oreš?anin_Zoran Kastel_Sergi Escobar_Goran Tomi?
Prva Hrvatska nogometna liga;nogomet;2021;HNS;GNK Dinamo Zagreb;10;Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska;M_M_M_M_M_M_M_M_M_M;;;;HNK Hajduk Split_NK Slaven Belupo_NK Istra 1961_GNK Dinamo Zagreb_HNK Velika Gorica_NK Hrvatski Dragovoljac_HNK Šibenik_NK Osijek_NK Lokomotiva Zagreb_HNK Rijeka;13-02-1911_01-01-1907_01-01-1948_09-06-1945_01-01-2009_01-01-1975_01-12-1932_27-02-1947_01-01-1914_01-01-1906;Valdas Dambrauskas_Zoran Zeki?_Gonzalo Garcia_Ante ?a?i?_Samir Toplak_Dean Ra?unica_Damir ?anadi_Nenad Bjelica_Silvijo ?abraja_Goran Tomi?
SuperSport Hrvatska nogometna liga;nogomet;2022;HNS;GNK Dinamo Zagreb;10;Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska_Hrvatska;M_M_M_M_M_M_M_M_M_M;;;;GNK Dinamo Zagreb_NK Slaven Belupo_HNK Šibenik_HNK Hajduk Split_NK Varaždin_NK Osijek_NK Istra 1961_NK Lokomotiva Zagreb_HNK Rijeka_HNK Velika Gorica;09-06-1945_01-01-1907_01-12-1932_13-02-1911_01-01-2012_27-02-1947_01-01-1948_01-01-1914_01-01-1906_01-01-2009;Ante ?a?i?_Zoran Zeki?_Damir ?anadi_Ivan Leko_Mario Kova?evi?_Stjepan Tomas_Gonzalo Garcia_Silvijo ?abraja_Sergej Jakirovi?_Željko Sopi?
World Championships - Final 8;badminton;2023;BWF;An Se Young;8;Kina_Japan_Kina_Indonezija_Japan_Južna Koreja_Tajvan_Španjolska;Ž_Ž_Ž_Ž_Ž_Ž_Ž_Ž;Wang_Akane_Chen_Gregoria Mariska_Nozomi_An_Tai_Carolina;Zhi Yi_Yamaguchi_Yu Fei_Tunjung_Okuhara_Se Young_Tzu Ying_Marin;29-04-2000_06-06-1997_01-03-1998_11-08-1999_13-03-1995_05-02-2002_20-06-1994_15-06-1993;;;
